,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
0,0,0195153448,Classical Mythology,Mark P. O. Morford,2002.0,Oxford University Press,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,"Provides an introduction to classical myths placing the addressed
topics within their historical context, discussion of archaeological
evidence as support for mythical events, and how these themes have
been portrayed in literature, art, ...",en,Social Science
1,1,0002005018,Clara Callan,Richard Bruce Wright,2001.0,HarperFlamingo Canada,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,"In a small town in Canada, Clara Callan reluctantly takes leave of her
sister, Nora, who is bound for New York.",en,Actresses
15,15,0060973129,Decision in Normandy,Carlo D'Este,1991.0,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,"Here, for the first time in paperback, is an outstanding military
history that offers a dramatic new perspective on the Allied campaign
that began with the invasion of the D-Day beaches of Normandy. Nationa
advertising in Military History.",en,1940-1949
18,18,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,"Describes the great flu epidemic of 1918, an outbreak that killed some
forty million people worldwide, and discusses the efforts of
scientists and public health officials to understand and prevent
another lethal pandemic",en,Medical
29,29,0393045218,The Mummies of Urumchi,E. J. W. Barber,1999.0,W. W. Norton & Company,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,"A look at the incredibly well-preserved ancient mummies found in
Western China describes their clothing and appearance, attempts to
reconstruct their culture, and speculates about how Caucasians could
have found their way to the feet of the ...",en,Design
30,30,0399135782,The Kitchen God's Wife,Amy Tan,1991.0,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction
63,63,0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History
68,68,0671870432,PLEADING GUILTY,Scott Turow,1993.0,Audioworks,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,9,9,9
71,71,0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996.0,Random House,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,"An authoritative, revisionist history of the golden age of piracy
draws on original archive material and records to provide a realistic
study of pirates and their lives that refutes many of the colorful
myths about the era. 35,000 first ...",en,Fiction
72,72,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002.0,Scribner,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,"Now back in print, Ann Beattie&#39;s finest short story collection,
reissued to accompany the publication of her latest novel, &quot;The
Doctor&#39;s House.",en,Fiction
73,73,0771074670,Nights Below Station Street,David Adams Richards,1988.0,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,Another story based in the fictional rural town in Miramichi.,en,Fiction
79,79,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000.0,Citadel Press,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,"Hitler&#39;s Secret Bankers was the first book to disclose the
extensive collaboration among Swiss banks, the Swiss government, and
the Third Reich before and during World War II. Switzerland,
supposedly neutral in the war, seemed a safe haven ...",en,History
80,80,0887841740,The Middle Stories,Sheila Heti,2004.0,House of Anansi Press,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,9,9,9
82,82,1552041778,Jane Doe,R. J. Kaiser,1999.0,Mira Books,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,9,9,9
83,83,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,9,9,9
91,91,1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998.0,Brilliance Audio - Trade,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,9,9,9
92,92,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999.0,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,"This eye-opening, well-researched examination of mankind&#39;s oldest
competitor is filled with weirdly fascinating information about the
history of the rat and the way it consistently outsmarts man.
Illustrations.",en,Nature
95,95,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994.0,River City Pub,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,"A beautifully narrated novel of time and place, &quot;Goodbye to the
Buttermilk Sky&quot; re-creates a southern summer when the depression
and the boll weevil turned hopes to dust.",en,Fiction
98,98,0440234743,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction
520,520,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,"Staring unflinchingly into the abyss of slavery, this novel transforms
history into a story as powerful as Exodus and as intimate as a
lullaby.",en,Fiction
700,700,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999.0,Three Rivers Press,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,"The staff of The Onion presents a satirical collection of mock
headlines and news stories, including an account of the Pentagon&#39;s
development of an A-bomb-resistant desk for schoolchildren",en,Humor
719,719,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001.0,Ryland Peters & Small Ltd,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,"In New Vegetarian Celia Brooks Brown presents an innovative approach
to vegetarian cooking.",en,Cooking
