,Unnamed: 0,user_id,age,Language,city,state,country
0,0,2,18.0,en,stockton,california,usa
1,1,8,34.74389988072476,en,timmins,ontario,canada
2,2,11400,49.0,en,ottawa,ontario,canada
3,3,11676,34.74389988072476,en,,,
4,4,41385,34.74389988072476,en,sudbury,ontario,canada
5,5,67544,30.0,en,toronto,ontario,canada
6,6,85526,36.0,en,victoria,british columbia,canada
7,7,96054,29.0,en,ottawa,ontario,canada
8,8,116866,34.74389988072476,en,ottawa,",",
9,9,123629,34.74389988072476,en,kingston,ontario,canada
10,10,177458,29.0,en,ottawa,ontario,canada
11,11,200273,34.74389988072476,en,comber,ontario,canada
12,12,210926,34.74389988072476,en,guelph,ontario,canada
13,13,219008,60.0,en,halifax,nova scotia,canada
14,14,263325,27.0,en,fredericton,new brunswick,canada
16,16,2954,71.0,en,wichita,kansas,usa
17,17,152827,40.0,en,ottawa,ontario,canada
19,19,35704,53.0,en,kansas city,missouri,usa
20,20,83160,65.0,en,oregon city,oregon,usa
21,21,110912,36.0,en,milpitas,california,usa
22,22,137688,46.0,en,medford,new york,usa
23,23,157969,30.0,en,denver,colorado,usa
24,24,169187,34.74389988072476,en,edmonton,alberta,canada
25,25,192665,47.0,en,vacaville,california,usa
26,26,197659,49.0,en,indiana,pennsylvania,usa
27,27,208059,34.74389988072476,en,payson,arizona,usa
28,28,209163,34.74389988072476,en,columbus,ohio,usa
32,32,29526,26.0,en,knoxville,tennessee,usa
33,33,36836,56.0,en,raleigh,north carolina,usa
34,34,46398,37.0,en,san antonio,texas,usa
35,35,49300,34.74389988072476,en,loveland,colorado,usa
36,36,49635,34.74389988072476,en,seattle,washington,usa
37,37,67958,39.0,en,idaho falls,idaho,usa
38,38,113270,25.0,en,evanston,illinois,usa
39,39,113519,34.74389988072476,en,pleasanton,california,usa
40,40,115097,27.0,en,seattle,",",
41,41,136509,31.0,en,santa barbara,california,usa
42,42,148712,34.74389988072476,en,homer,alaska,usa
43,43,153461,34.74389988072476,en,upland,california,usa
44,44,178269,34.74389988072476,en,harbor city,california,usa
45,45,180297,41.0,en,ann arbor,michigan,usa
46,46,188589,20.0,en,klang,selangor,malaysia
47,47,194722,34.74389988072476,en,dallas,texas,usa
48,48,198013,34.74389988072476,en,sandy,oregon,usa
49,49,200674,58.0,en,pittsburg,missouri,usa
50,50,207148,42.0,en,san diego,california,usa
51,51,211919,38.0,en,jacksonville,florida,usa
52,52,212449,34.74389988072476,en,austin,texas,usa
53,53,213191,34.74389988072476,en,san diego,california,usa
54,54,230522,52.0,en,colorado springs,colorado,usa
55,55,236322,34.74389988072476,en,houston,texas,usa
56,56,238557,21.0,en,kuala lumpur,selangor,malaysia
57,57,242247,42.0,en,livonia,michigan,usa
58,58,245827,34.74389988072476,en,albuquerque,",",
59,59,248583,34.74389988072476,en,vancouver,british columbia,canada
60,60,252282,42.0,en,sammamish,washington,usa
61,61,252921,22.0,en,renton,washington,usa
62,62,255661,34.0,en,parker,colorado,usa
64,64,52614,33.0,en,toccoa,ga.,usa
65,65,56193,34.0,en,wahiawa,hawaii,usa
66,66,225910,19.0,en,annville,pennsylvania,usa
67,67,274634,33.0,en,wahiawa,hawaii,usa
70,70,24539,34.74389988072476,9,cabrils,catalunya,spain
75,75,98499,34.74389988072476,en,toronto,ontario,canada
76,76,166596,57.0,en,greenwood,british columbia,canada
77,77,189238,34.74389988072476,en,dunedin,otago,new zealand
78,78,223066,51.0,en,ottawa,ontario,canada
81,81,92861,34.74389988072476,9,vancouver,british columbia,canada
84,84,3363,29.0,9,knoxville,tennessee,usa
85,85,61501,34.74389988072476,9,timmins,ontario,canada
86,86,148514,34.74389988072476,9,barstow,california,usa
87,87,174304,26.0,9,st. louis,missouri,usa
88,88,177090,37.0,9,ashland,missouri,usa
89,89,256233,34.74389988072476,9,glen allen,virginia,usa
90,90,263256,34.74389988072476,9,knoxville,tennessee,usa
93,93,176875,31.0,en,tampere,pirkanmaa,finland
94,94,213915,29.0,en,sheffield,s yorkshire,united kingdom
96,96,35826,34.74389988072476,en,prosperity,south carolina,usa
